date,open,high,low,close,volume
16/09/2013,74.9,75.19,74.69,74.78,4212240
17/09/2013,74.84,75.47,74.79,75.15,4272059
18/09/2013,75.16,76.53,74.9,76.42,6919076
19/09/2013,76.5,76.53,75.62,76.21,7109721
20/09/2013,76.32,76.45,75.83,75.83,8847593
23/09/2013,75.39,76.43,75.2,76.42,5604843
24/09/2013,76.4,76.73,75.685,75.75,6715320
25/09/2013,75.91,75.94,73.56,74.65,14997095
26/09/2013,74.78,74.98,74.22,74.62,5077884
27/09/2013,74.38,74.46,74.07,74.36,4214632
30/09/2013,74.28,74.6,73.74,73.96,6752482
01/10/2013,73.87,73.89,73.32,73.59,5681088
02/10/2013,73.39,73.72,73.04,73.72,7376063
03/10/2013,73.53,73.53,72.95,73.16,7179614
04/10/2013,73.01,73.38,72.79,72.8,5735870
07/10/2013,72.42,72.42,71.51,71.87,6884490
08/10/2013,71.85,73.19,71.8,72.9,9191707
09/10/2013,72.83,73.34,72.57,73,6467427
10/10/2013,73.48,74.87,73.27,74.79,7680063
11/10/2013,74.61,74.83,73.83,74.82,6529172
14/10/2013,74.34,74.71,73.7499,74.68,5904038
15/10/2013,74.43,75.37,73.99,74.37,8981667
16/10/2013,74.81,75.62,74.57,75.6,5849390
17/10/2013,75.49,76.12,71.69,75.78,6395086
18/10/2013,75.8,75.93,75.48,75.71,6788495
21/10/2013,75.72,75.82,74.82,75.15,5345764
22/10/2013,75.43,76.49,75.21,76.32,6948532
23/10/2013,76.18,76.35,75.81,75.9,5844211
24/10/2013,76.03,76.51,75.82,76.42,5845389
25/10/2013,76.37,76.76,75.78,76.08,6458843
28/10/2013,76.16,77.21,76.05,77.14,6947418
29/10/2013,77.25,77.6301,76.75,77.06,7437557
30/10/2013,77.27,77.525,76.56,76.91,4605666
31/10/2013,76.88,77.15,76.6,76.75,4578154
01/11/2013,76.97,77.4,76.59,77.07,5116130
04/11/2013,77.22,77.65,77.2,77.33,4704144
05/11/2013,76.81,77.61,76.72,77.42,5092203
06/11/2013,77.64,78.28,77.3,78.16,4829209
07/11/2013,78.19,78.22,77.24,77.51,8347600
08/11/2013,77.49,77.96,76.79,77.96,5793794
11/11/2013,77.8599,79.07,77.79,79.01,7450486
12/11/2013,78.85,78.97,78.25,78.71,5274506
13/11/2013,78.42,78.99,78.35,78.9,8287384
14/11/2013,77.75,79.53,77.68,79.08,9302078
15/11/2013,78.93,79.29,78.75,79.22,5917004
18/11/2013,79.23,79.32,78.91,79.22,5962661
19/11/2013,79.3,79.35,78.88,79.25,4455005
20/11/2013,79.31,79.39,78.49,78.9,4511312
21/11/2013,78.74,79.2,78.55,78.86,3840986
22/11/2013,78.87,79.87,78.75,79.81,4818619
25/11/2013,80.06,80.57,79.9105,80.43,5670506
26/11/2013,80.44,80.68,80.11,80.68,5538136
27/11/2013,80.55,80.995,80.38,80.93,4813288
29/11/2013,81.17,81.35,80.82,81.01,3447212
02/12/2013,80.89,81.28,80.37,81.11,6178477
03/12/2013,81.21,81.33,80.7,81.21,7513346
04/12/2013,80.64,81.37,79.91,80.22,7641631
05/12/2013,79.72,79.77,78.87,79.44,6449952
06/12/2013,79.71,80.2299,79.64,79.94,5088055
09/12/2013,80.24,80.43,79.7,79.95,4491843
10/12/2013,79.72,79.8,79.05,79.08,6285736
11/12/2013,79.1,79.72,79.05,79.09,5998765
12/12/2013,79.11,79.26,78.4,78.5,5691583
13/12/2013,78.73,78.77,77.93,78.08,4985885
16/12/2013,78.25,78.5,77.6,77.74,6146898
17/12/2013,77.74,77.89,77.22,77.25,5766928
18/12/2013,77.28,77.98,76.81,77.94,10633938
19/12/2013,77.67,77.83,77.2,77.24,5955433
20/12/2013,77.28,77.88,77.25,77.43,9568816
23/12/2013,77.73,77.99,77.37,77.87,4491918
24/12/2013,77.95,78.24,77.632,78.01,2094937
26/12/2013,78.06,78.52,77.97,78.39,2778189
27/12/2013,78.6,78.93,78.3,78.47,3050104
30/12/2013,78.61,78.88,78.43,78.63,3086473
31/12/2013,78.66,78.87,78.35,78.69,3859089
02/01/2014,78.72,79.47,78.5,78.91,6911859
03/01/2014,78.81,79.13,78.52,78.65,4958031
06/01/2014,78.86,78.91,77.79,78.21,7281948
07/01/2014,78.17,78.85,77.92,78.45,5013309
08/01/2014,78.5,78.51,77.6,77.83,5972916
09/01/2014,78.39,78.4,77.49,78.09,5925044
10/01/2014,78.31,78.72,77.54,78.04,5191635
13/01/2014,77.6,77.97,77.24,77.49,6180103
14/01/2014,77.46,78,77.38,77.96,4127877
15/01/2014,77.96,78.1,77.57,77.66,4995422
16/01/2014,77.39,77.47,76.35,76.76,7208888
17/01/2014,76.73,76.82,76.03,76.19,11446726
21/01/2014,76.25,76.39,74.86,75.84,9012385
22/01/2014,76.08,76.08,75.03,75.35,5879735
23/01/2014,74.84,75.12,74.47,74.96,6019150
24/01/2014,74.73,75.12,74.23,74.42,9455979
27/01/2014,74.13,74.37,73.83,74.15,9105139
28/01/2014,74.26,75.4,74.1,74.67,6035231
29/01/2014,75.29,75.37,74.07,74.1,8440854
30/01/2014,74.54,75.09,74.36,74.75,6742046
31/01/2014,73.92,75.19,73.64,74.68,10665285
03/02/2014,74.19,74.5,72.54,72.66,10435809
04/02/2014,72.67,73.1,72.3,72.73,7765562
05/02/2014,72.27,73.16,72.27,72.87,4778044
06/02/2014,72.97,73.21,72.5,72.82,7353131
07/02/2014,73.05,73.8,72.5,73.75,7320252
