date,open,high,low,close,volume
12/05/2014,82.61,82.71,81.71,81.73,7859053
13/05/2014,81.94,81.98,81.42,81.61,6540218
14/05/2014,81.74,81.91,81.12,81.17,6872657
15/05/2014,81.25,81.37,80.44,80.53,9402103
16/05/2014,80.63,80.76,80,80.33,11559255
19/05/2014,80.01,80.05,79.54,79.93,6073538
20/05/2014,80.02,80.58,79.97,80.23,7057232
21/05/2014,80.34,80.67,80.02,80.49,6339794
22/05/2014,80.37,80.67,80.05,80.65,5561257
23/05/2014,80.51,80.85,80.4,80.52,4472635
27/05/2014,80.55,80.58,80.05,80.08,7004714
28/05/2014,80.03,80.28,80.02,80.1,4201377
29/05/2014,80.1,80.4,80.08,80.4,3886779
30/05/2014,80.25,80.85,80.17,80.79,7432199
02/06/2014,80.66,80.67,80.29,80.36,4331701
03/06/2014,80.04,80.3,79.6,79.93,6970914
04/06/2014,80,80.22,79.6401,79.86,5427687
05/06/2014,80.11,80.31,79.97,80.11,5788203
06/06/2014,80.09,80.2375,79.82,80.03,5521710
09/06/2014,79.91,80.24,79.85,80.09,6352506
10/06/2014,80.03,80.3,80,80.15,5658366
11/06/2014,80.05,80.3,79.88,80.06,7453733
12/06/2014,79.82,80.03,79.69,79.76,6526949
13/06/2014,79.73,79.94,79.5,79.64,5214278
16/06/2014,79.52,79.94,79.11,79.69,5334617
17/06/2014,79.61,79.79,79.35,79.58,5337668
18/06/2014,79.44,79.94,79.13,79.79,9618007
19/06/2014,79.85,80.57,79.8,80.24,12493024
20/06/2014,80.44,80.5,79.825,79.93,11664486
23/06/2014,80.06,80.06,79.36,79.52,6947701
24/06/2014,79.42,79.44,78.915,79.01,8157305
25/06/2014,79.04,79.355,78.65,79.32,12569262
26/06/2014,79.24,79.29,78.59,78.62,7262067
27/06/2014,78.6,79.19,78.52,79.02,8975304
30/06/2014,79.01,79.46,78.43,78.59,10303230
01/07/2014,78.87,79.41,78.505,79.28,8426276
02/07/2014,79.56,79.86,79.44,79.56,6282586
03/07/2014,79.93,80.14,79.635,79.98,5501056
07/07/2014,79.75,80.2,79.66,80.19,6674885
08/07/2014,80.03,80.85,79.91,80.56,9150185
09/07/2014,80.66,81.8,80.5,81.67,12120399
10/07/2014,81.27,81.91,81.19,81.61,8786489
11/07/2014,81.06,81.5698,81,81.16,7519293
14/07/2014,81.36,81.735,81.3,81.32,6806097
15/07/2014,81.51,81.515,81.09,81.26,9638650
16/07/2014,80.9,81.2,80.75,80.94,8946279
17/07/2014,80.55,80.75,80.16,80.55,6502396
18/07/2014,80.55,80.75,80.16,80.55,6507017
21/07/2014,80.33,80.3999,79.95,80.28,4439218
22/07/2014,80.29,80.58,79.77,80.1,6073192
23/07/2014,80.33,80.5,79.815,79.99,5891317
24/07/2014,80.12,80.32,79.85,80.26,6273126
25/07/2014,80.02,80.16,79.37,79.56,6293364
28/07/2014,79.41,79.62,78.85,79.26,6757259
29/07/2014,79.09,79.5,78.65,78.65,6425591
30/07/2014,78.7,79.01,78.14,78.16,8296537
31/07/2014,77.76,78.01,77.29,77.32,11239379
01/08/2014,79.25,80.67,78.83,79.65,18110864
04/08/2014,79.46,79.46,78.66,79.22,12075293
05/08/2014,78.99,79.74,78.98,79.41,7995884
06/08/2014,79.4,81.3,79.27,81.09,12839049
07/08/2014,81.02,81.18,80.01,80.14,7912807
08/08/2014,80.05,81.03,80.04,80.95,6215609
11/08/2014,81.23,81.87,81.03,81.48,8188008
12/08/2014,81.5,81.86,81.21,81.42,6591201
13/08/2014,81.64,81.795,81.11,81.48,5472167
14/08/2014,81.59,82.04,81.435,81.95,5930709
15/08/2014,82.23,82.23,81.18,81.78,7422986
18/08/2014,81.99,82.85,81.81,82.44,8450531
19/08/2014,82.35,82.87,82.12,82.69,6873612
20/08/2014,82.46,82.94,82.46,82.81,4581835
21/08/2014,82.8,83.47,82.69,83.28,7106490
22/08/2014,83.16,83.66,83.14,83.39,6978890
25/08/2014,83.74,83.82,83.31,83.54,5586758
26/08/2014,83.61,83.83,83.33,83.38,5188357
27/08/2014,83.43,83.6,83.1601,83.31,4248518
28/08/2014,83.02,83.22,82.76,83.03,4283148
29/08/2014,83.09,83.13,82.6,83.11,4901408
02/09/2014,83.21,83.49,82.71,82.98,5528875
03/09/2014,83.26,83.48,82.77,82.9,5851788
04/09/2014,82.92,83.749,82.78,83.7,7444413
05/09/2014,83.44,83.8,83.065,83.77,5889038
08/09/2014,83.57,83.6,83.13,83.32,4899613
09/09/2014,83.05,83.29,82.83,82.99,5206752
10/09/2014,83.2,83.96,83.15,83.64,6722192
11/09/2014,83.61,83.75,83.37,83.49,6345118
12/09/2014,83.21,83.38,82.86,83.26,6367223
15/09/2014,83.18,84.25,83.14,83.87,7008544
16/09/2014,83.58,84.45,83.56,84.08,7146245
17/09/2014,84.02,84.5,83.93,84.16,8277298
18/09/2014,84.18,84.44,84.073,84.19,5309232
19/09/2014,84.52,84.77,84.18,84.47,11380809
22/09/2014,84.64,84.95,84.49,84.81,8397142
23/09/2014,84.65,84.92,84.44,84.44,7723459
24/09/2014,84.33,85.4,84.33,85.24,11694662
25/09/2014,85.02,85.13,84.33,84.33,8212325
26/09/2014,84.54,84.74,83.86,84.58,5482722
29/09/2014,84.11,84.47,83.66,84.44,6362241
30/09/2014,84.34,84.36,83.68,83.74,8080639
01/10/2014,84.02,84.04,83.03,83.14,9029128
02/10/2014,83.1,83.97,82.95,83.05,8858502
03/10/2014,83.44,83.945,82.88,83.79,6702043
06/10/2014,83.57,83.94,83.19,83.57,5656495
07/10/2014,83.38,83.92,83.12,83.16,7386318
08/10/2014,83.34,84.28,83.21,84.18,8110994
09/10/2014,84.21,84.88,83.53,83.66,7765706
10/10/2014,83.95,85.28,83.91,84.69,13733453
13/10/2014,84.31,84.47,83.31,83.37,10073580
14/10/2014,83.91,83.91,83.03,83.55,8210923
15/10/2014,82.59,83.58,81.76,82.95,13288831
16/10/2014,81.65,82.8,81.57,82.24,11310285
17/10/2014,82.95,83.48,82.03,83.27,11786627
20/10/2014,83.25,84.33,82.83,84.18,8558072
21/10/2014,84.47,84.64,83.66,84.61,12389590
22/10/2014,84.06,84.59,83.92,84.23,9755005
23/10/2014,84.26,84.33,82.3,83.23,14292357
24/10/2014,85.1,85.97,84.91,85.16,13465590
27/10/2014,84.96,86.48,84.83,85.95,10316563
28/10/2014,86.2,86.65,86.17,86.47,9444204
29/10/2014,86.67,86.67,85.91,86.54,6881448
30/10/2014,86.16,87,85.67,86.94,5560308
31/10/2014,87.08,87.36,86.71,87.27,9359840
03/11/2014,86.66,87.39,86.2,87.38,7782249
04/11/2014,87.49,88.87,87.44,88.64,10594790
05/11/2014,88.74,89.49,88.36,89,8462015
06/11/2014,89.08,89.2,88.57,88.9,6628881
07/11/2014,88.74,89.2,88.25,89.13,5975737
10/11/2014,88.92,89.5,88.26,89.45,5927052
11/11/2014,89.38,89.79,89.17,89.67,6346785
12/11/2014,89.6,89.88,89.42,89.48,6298672
13/11/2014,88.94,89.84,88.46,88.6,10191559
14/11/2014,88.7,88.89,87.93,88.11,7559371
17/11/2014,88,88.18,87.37,87.84,9475799
18/11/2014,88.02,88.18,87.49,87.95,6419641
19/11/2014,88.24,88.87,87.93,88.73,6570396
20/11/2014,88.33,88.8,88.33,88.47,5527565
21/11/2014,89.26,89.43,88.46,88.6,8984113
24/11/2014,88.88,88.89,87.86,88.11,5569245
25/11/2014,88.36,88.82,88.08,88.8,6439699
26/11/2014,88.83,88.88,88.45,88.88,4419983
28/11/2014,89.09,90.56,88.97,90.43,7661778
01/12/2014,90.17,90.67,89.52,90.08,6745137
02/12/2014,90.44,91.17,90.12,91.07,7432863
03/12/2014,90.84,90.97,89.64,90,6465627
04/12/2014,90.5,90.94,90.1,90.58,6410706
05/12/2014,90.32,90.42,89.21,90.38,6383401
08/12/2014,90.34,91,90.32,90.76,4723879
09/12/2014,90.47,90.78,89.87,90.71,5703953
10/12/2014,90.95,91.1,89.96,90,6293332
11/12/2014,90,91.28,89.98,90.41,6468676
12/12/2014,90.01,90.97,89.53,89.55,6574629
15/12/2014,89.7,90.6,89.03,89.2,6511895
16/12/2014,89.14,90.96,88.38,89.36,8776495
17/12/2014,89.56,91.16,89.4,90.7,7415365
18/12/2014,91.01,92,90.55,92,8724454
19/12/2014,92.15,92.73,91.76,92.05,14037813
22/12/2014,92.1,92.73,92,92.6,7157130
23/12/2014,92.74,93.48,92.7,93.29,5610590
24/12/2014,93.5,93.89,93.14,93.14,2408140
26/12/2014,93.15,93.806,93.06,93.46,3148746
29/12/2014,93.12,93.43,92.5,92.64,4657706
30/12/2014,92.25,92.82,92.1,92.4,4730012
31/12/2014,92.04,92.55,91.03,91.09,5712139
02/01/2015,90.84,91,89.92,90.44,7255494
05/01/2015,90.23,91,89.85,90.01,8626143
06/01/2015,90.31,90.56,89.26,89.6,7791195
07/01/2015,89.94,90.37,89.5626,90.07,5986899
08/01/2015,90.48,91.225,90.13,91.1,6831617
09/01/2015,91.18,91.18,90.12,90.25,4873097
12/01/2015,90.475,90.62,89.505,89.92,5250893
13/01/2015,90.78,91.5,89.77,90.3,6730752
14/01/2015,89.73,90.16,89.4312,89.99,6418158
15/01/2015,90.49,90.5,89.34,89.86,6768180
16/01/2015,89.95,91.34,89.87,91.25,8815713
20/01/2015,91.25,91.79,90.5,91.19,9874638
21/01/2015,90.4,91.19,89.63,90.73,6974533
22/01/2015,91.04,91.69,89.87,91.62,7211231
23/01/2015,91.17,91.19,89.95,90.08,6745741
26/01/2015,89.95,89.95,88.74,89.58,9371693
27/01/2015,87.1,87.21,86.02,86.49,14417363
28/01/2015,86.63,86.91,85.01,85.15,14033420
29/01/2015,85.78,86.11,85.15,85.67,12054601
30/01/2015,85.09,85.2245,84.25,84.29,14685250
02/02/2015,84.58,85.14,83.68,85.12,10278739
03/02/2015,85.95,86,85.12,85.95,10747897
04/02/2015,85.89,86.48,85.55,85.79,9212785
05/02/2015,86.24,86.78,86.1,86.7,6531298
06/02/2015,86.56,86.61,85.15,85.61,8429773
09/02/2015,85.31,85.43,84.59,85.05,8811512
10/02/2015,85.33,85.57,84.82,85.39,7059632
11/02/2015,85.95,86.2,85.1449,85.64,7184577
12/02/2015,86.06,86.146,85.41,86.03,6074566
13/02/2015,86.03,86.15,85.5,85.9,6272049
17/02/2015,86.06,86.06,85,85.49,10310422
18/02/2015,85.76,86.39,85.52,86.26,8132286
19/02/2015,86.11,86.3,85.05,85.21,7271618
20/02/2015,84.95,85.05,84.19,84.87,9581338
23/02/2015,84.96,85.5,84.65,85.39,7919155
24/02/2015,85.51,85.74,85.01,85.5,6502170
25/02/2015,85.7,85.795,85.2399,85.46,5975834
26/02/2015,85.42,85.76,84.89,85.17,7964477
27/02/2015,85.02,85.38,84.57,85.13,7685024
02/03/2015,85.02,85.41,84.84,85.41,7235172
03/03/2015,85.35,85.44,84.54,85.16,6095591
04/03/2015,85.04,85.24,84.21,84.35,7369986
05/03/2015,84.62,84.76,84.09,84.63,5914196
06/03/2015,84.34,84.37,82.37,82.66,11338662
09/03/2015,82.79,83.21,82.68,83.09,7326705
10/03/2015,82.47,82.88,81.54,81.54,9681416
11/03/2015,81.53,81.78,80.811,81.39,10066594
12/03/2015,81.59,82.115,81.51,82.09,6951122
13/03/2015,81.98,82.28,81.15,81.83,7492548
16/03/2015,82.08,83.95,81.99,83.56,15618256
17/03/2015,83.36,83.37,82.43,82.85,7509338
18/03/2015,82.86,84.05,82.02,83.75,12607899
19/03/2015,83.46,83.75,83.12,83.38,9257503
20/03/2015,83.99,84.79,83.77,84.74,22580280
23/03/2015,84.37,85.05,84.36,84.86,9891106
24/03/2015,84.89,85.11,83.87,83.92,7478791
25/03/2015,84.37,84.37,82.86,83.01,8482161
26/03/2015,82.58,82.61,81.95,82.15,7311649
27/03/2015,82.08,82.54,81.9901,82.31,6441403
30/03/2015,82.63,82.95,82.15,82.72,6416848
31/03/2015,82.76,82.93,81.94,81.94,8649658
01/04/2015,82.44,82.45,81.4503,82.32,7395287
02/04/2015,82.17,82.59,81.915,82.43,6169838
06/04/2015,81.92,83.225,81.51,83.04,6856344
07/04/2015,82.93,83.29,82.33,82.39,6330163
08/04/2015,82.3,83.18,82.27,82.77,6523404
09/04/2015,82.63,82.95,82.01,82.89,6184986
10/04/2015,82.8,83.63,82.715,83.35,7001674
13/04/2015,83,83.95,82.94,83.43,8290458
14/04/2015,83.39,83.88,83.05,83.6,6792597
15/04/2015,83.85,84.2,83.48,83.51,7006392
16/04/2015,83.56,84.07,83.35,83.5,7615906
17/04/2015,83,83.22,82.03,82.53,9533805
20/04/2015,83.09,83.98,82.8,82.87,7415988
21/04/2015,83.39,83.8,82.9,83.08,7696424
